maintenance_id,start_time,end_time,machine_id,line_id,technician_id,maintenance_type_id,related_failure_id,duration_minutes,labor_cost,parts_cost,part_id,part_quantity,total_cost
25,2022-02-05 07:49:00,2022-02-05 08:15:00,11,3,3,1,,26,151.67,0,,0,151.67
26,2022-02-06 12:07:00,2022-02-06 12:39:00,9,3,9,1,,32,208.0,0,,0,208.0
27,2022-02-06 19:12:00,2022-02-06 20:05:00,4,1,10,1,,53,344.5,0,,0,344.5
28,2022-02-06 20:21:00,2022-02-06 20:51:00,10,3,10,1,,30,195.0,0,,0,195.0
29,2022-02-07 21:49:00,2022-02-08 00:00:00,11,3,6,2,1.0,131,698.67,37000,10.0,2,37698.67
30,2022-02-08 08:13:00,2022-02-08 08:44:00,5,2,5,1,,31,180.83,55000,17.0,1,55180.83
31,2022-02-08 08:26:00,2022-02-08 09:25:00,7,2,7,1,,59,344.17,0,,0,344.17
32,2022-02-08 09:39:00,2022-02-08 10:22:00,1,1,4,1,,43,229.33,0,,0,229.33
33,2022-02-08 15:07:00,2022-02-08 15:55:00,2,1,3,1,,48,280.0,0,,0,280.0
34,2022-02-08 18:41:00,2022-02-08 19:25:00,3,1,3,1,,44,256.67,0,,0,256.67
35,2022-02-09 11:57:00,2022-02-09 12:30:00,12,3,6,1,,33,176.0,0,,0,176.0
36,2022-02-09 21:54:00,2022-02-09 22:39:00,6,2,5,1,,45,262.5,2400,2.0,1,2662.5
37,2022-02-10 20:33:00,2022-02-10 21:03:00,8,2,5,1,,30,175.0,0,,0,175.0
38,2022-02-12 07:39:00,2022-02-12 16:00:00,9,3,10,2,2.0,501,3256.5,1200,4.0,1,4456.5
39,2022-02-12 12:16:00,2022-02-12 19:00:00,7,2,8,2,3.0,404,2828.0,12500,9.0,1,15328.0
40,2022-02-16 06:40:00,2022-02-16 12:00:00,6,2,11,2,4.0,320,4533.33,38000,19.0,1,42533.33
41,2022-02-17 09:49:00,2022-02-17 10:46:00,11,3,9,1,,57,370.5,0,,0,370.5
42,2022-02-18 17:00:00,2022-02-18 17:27:00,7,2,6,1,,27,144.0,0,,0,144.0
43,2022-02-19 09:58:00,2022-02-19 10:25:00,4,1,5,1,,27,157.5,0,,0,157.5
44,2022-02-19 20:29:00,2022-02-19 20:49:00,9,3,8,1,,20,140.0,42000,16.0,1,42140.0
45,2022-02-20 09:21:00,2022-02-20 09:47:00,10,3,7,1,,26,151.67,0,,0,151.67
46,2022-02-20 09:47:00,2022-02-20 10:24:00,6,2,9,1,,37,240.5,0,,0,240.5
47,2022-02-20 14:06:00,2022-02-20 14:29:00,2,1,6,1,,23,122.67,0,,0,122.67
48,2022-02-20 18:37:00,2022-02-20 19:29:00,3,1,8,1,,52,364.0,0,,0,364.0
49,2022-02-21 20:43:00,2022-02-22 00:00:00,2,1,2,2,5.0,197,1214.83,42000,16.0,1,43214.83
50,2022-02-22 07:23:00,2022-02-22 08:16:00,5,2,10,1,,53,344.5,0,,0,344.5
51,2022-02-22 07:23:00,2022-02-22 08:12:00,1,1,7,1,,49,285.83,44000,11.0,2,44285.83
52,2022-02-22 13:40:00,2022-02-22 17:00:00,3,1,3,2,6.0,200,1166.67,0,,0,1166.67
53,2022-02-22 13:58:00,2022-02-22 14:33:00,12,3,5,1,,35,204.17,0,,0,204.17
54,2022-02-22 18:16:00,2022-02-22 19:10:00,8,2,3,1,,54,315.0,0,,0,315.0
55,2022-02-24 00:41:00,2022-02-24 04:00:00,4,1,8,2,7.0,199,1393.0,1800,1.0,1,3193.0
56,2022-02-24 03:38:00,2022-02-24 06:00:00,11,3,8,2,8.0,142,994.0,0,,0,994.0
57,2022-02-28 21:51:00,2022-02-28 22:25:00,11,3,6,1,,34,181.33,0,,0,181.33
58,2022-03-01 04:57:00,2022-03-01 11:00:00,10,3,9,2,9.0,363,2359.5,19500,12.0,1,21859.5
59,2022-03-01 13:23:00,2022-03-01 15:00:00,12,3,10,2,10.0,97,630.5,3500,5.0,1,4130.5
60,2022-03-01 16:19:00,2022-03-01 17:02:00,9,3,3,1,,43,250.83,0,,0,250.83
61,2022-03-02 14:16:00,2022-03-02 15:08:00,3,1,8,1,,52,364.0,18500,10.0,1,18864.0
62,2022-03-03 18:10:00,2022-03-03 18:58:00,2,1,9,1,,48,312.0,0,,0,312.0
63,2022-03-03 21:42:00,2022-03-03 22:38:00,7,2,5,1,,56,326.67,0,,0,326.67
64,2022-03-04 13:57:00,2022-03-04 14:35:00,8,2,6,1,,38,202.67,25000,9.0,2,25202.67
65,2022-03-04 14:28:00,2022-03-04 15:16:00,6,2,7,1,,48,280.0,1800,1.0,1,2080.0
66,2022-03-05 17:14:00,2022-03-05 17:34:00,10,3,8,1,,20,140.0,0,,0,140.0
67,2022-03-05 18:56:00,2022-03-05 19:54:00,5,2,9,1,,58,377.0,0,,0,377.0
68,2022-03-05 20:53:00,2022-03-05 21:22:00,4,1,3,1,,29,169.17,19500,12.0,1,19669.17
69,2022-03-05 21:59:00,2022-03-05 22:39:00,1,1,2,1,,40,246.67,0,,0,246.67
70,2022-03-07 00:17:00,2022-03-07 04:00:00,11,3,7,2,11.0,223,1300.83,0,,0,1300.83
71,2022-03-07 11:21:00,2022-03-07 14:00:00,7,2,10,2,12.0,159,1033.5,10500,5.0,3,11533.5
72,2022-03-08 15:27:00,2022-03-08 16:18:00,12,3,3,1,,51,297.5,0,,0,297.5
73,2022-03-09 10:55:00,2022-03-09 18:00:00,1,1,7,2,13.0,425,2479.17,44000,11.0,2,46479.17
74,2022-03-10 19:18:00,2022-03-11 00:00:00,4,1,8,2,14.0,282,1974.0,55000,17.0,1,56974.0
75,2022-03-13 06:10:00,2022-03-13 11:00:00,9,3,5,2,15.0,290,1691.67,4800,2.0,2,6491.67
76,2022-03-13 08:36:00,2022-03-13 09:35:00,11,3,9,1,,59,383.5,0,,0,383.5
77,2022-03-13 19:52:00,2022-03-13 20:51:00,3,1,9,1,,59,383.5,0,,0,383.5
78,2022-03-15 11:43:00,2022-03-15 12:11:00,9,3,6,1,,28,149.33,0,,0,149.33
79,2022-03-15 12:13:00,2022-03-15 19:00:00,6,2,6,2,16.0,407,2170.67,84000,16.0,2,86170.67
80,2022-03-15 15:40:00,2022-03-15 16:02:00,4,1,9,1,,22,143.0,38000,19.0,1,38143.0
81,2022-03-15 21:08:00,2022-03-15 21:39:00,7,2,8,1,,31,217.0,0,,0,217.0
82,2022-03-16 14:20:00,2022-03-16 15:15:00,2,1,6,1,,55,293.33,3500,5.0,1,3793.33
83,2022-03-17 07:22:00,2022-03-17 08:19:00,5,2,5,1,,57,332.5,0,,0,332.5
84,2022-03-17 07:40:00,2022-03-17 09:00:00,2,1,6,2,17.0,80,426.67,18500,10.0,1,18926.67
85,2022-03-17 07:56:00,2022-03-17 10:00:00,8,2,4,2,18.0,124,661.33,4800,7.0,1,5461.33
86,2022-03-17 18:37:00,2022-03-17 20:00:00,5,2,10,2,19.0,83,539.5,76000,19.0,2,76539.5
87,2022-03-17 19:37:00,2022-03-17 19:57:00,10,3,7,1,,20,116.67,900,3.0,1,1016.67
88,2022-03-18 13:27:00,2022-03-18 13:51:00,8,2,2,1,,24,148.0,0,,0,148.0
89,2022-03-18 15:21:00,2022-03-18 16:05:00,1,1,2,1,,44,271.33,0,,0,271.33
90,2022-03-20 11:07:00,2022-03-20 11:50:00,12,3,10,1,,43,279.5,0,,0,279.5
91,2022-03-20 15:26:00,2022-03-20 17:00:00,10,3,6,2,20.0,94,501.33,47000,20.0,1,47501.33
92,2022-03-24 19:31:00,2022-03-25 01:00:00,11,3,2,2,21.0,329,2028.83,900,3.0,1,2928.83
93,2022-03-25 12:50:00,2022-03-25 13:15:00,3,1,7,1,,25,145.83,0,,0,145.83
94,2022-03-25 14:16:00,2022-03-25 14:44:00,6,2,10,1,,28,182.0,0,,0,182.0
95,2022-03-25 20:44:00,2022-03-25 21:24:00,7,2,3,1,,40,233.33,0,,0,233.33
96,2022-03-26 09:36:00,2022-03-26 10:23:00,9,3,6,1,,47,250.67,0,,0,250.67
97,2022-03-26 13:22:00,2022-03-26 14:21:00,11,3,9,1,,59,383.5,0,,0,383.5
98,2022-03-26 13:34:00,2022-03-26 14:28:00,2,1,5,1,,54,315.0,17400,15.0,2,17715.0
99,2022-03-27 06:57:00,2022-03-27 12:00:00,3,1,5,2,22.0,303,1767.5,0,,0,1767.5
100,2022-03-29 10:53:00,2022-03-29 11:35:00,4,1,2,1,,42,259.0,0,,0,259.0
101,2022-03-29 20:11:00,2022-03-30 01:00:00,12,3,3,2,23.0,289,1685.83,19500,12.0,1,21185.83
102,2022-03-30 16:41:00,2022-03-30 17:28:00,1,1,4,1,,47,250.67,0,,0,250.67
103,2022-03-31 09:15:00,2022-03-31 09:42:00,5,2,3,1,,27,157.5,0,,0,157.5
104,2022-03-31 15:19:00,2022-03-31 18:00:00,2,1,4,2,24.0,161,858.67,60000,18.0,1,60858.67
105,2022-03-31 20:00:00,2022-03-31 23:00:00,1,1,2,2,25.0,180,1110.0,9800,14.0,1,10910.0
106,2022-03-31 21:28:00,2022-03-31 21:52:00,10,3,2,1,,24,148.0,22000,11.0,1,22148.0
107,2022-04-01 09:53:00,2022-04-01 10:31:00,8,2,6,1,,38,202.67,0,,0,202.67
108,2022-04-03 07:07:00,2022-04-03 07:33:00,12,3,9,1,,26,169.0,16000,13.0,1,16169.0
109,2022-04-03 17:55:00,2022-04-03 21:24:00,10,3,3,1,,209,1219.17,38000,19.0,1,39219.17
110,2022-04-03 19:31:00,2022-04-03 23:00:00,6,2,2,2,26.0,209,1288.83,0,,0,1288.83
111,2022-04-04 07:59:00,2022-04-04 08:47:00,6,2,2,1,,48,296.0,0,,0,296.0
112,2022-04-04 09:33:00,2022-04-04 14:00:00,8,2,8,2,27.0,267,1869.0,1800,1.0,1,3669.0
113,2022-04-05 09:51:00,2022-04-05 15:58:00,8,2,7,1,,367,2140.83,0,,0,2140.83
114,2022-04-05 21:19:00,2022-04-06 02:00:00,10,3,5,2,28.0,281,1639.17,3200,8.0,1,4839.17
115,2022-04-06 06:38:00,2022-04-06 07:29:00,2,1,9,1,,51,331.5,0,,0,331.5
116,2022-04-06 12:50:00,2022-04-06 13:17:00,3,1,5,1,,27,157.5,16000,13.0,1,16157.5
117,2022-04-06 17:39:00,2022-04-06 18:00:00,9,3,8,1,,21,147.0,120000,18.0,2,120147.0
118,2022-04-07 17:37:00,2022-04-07 18:27:00,7,2,8,1,,50,350.0,0,,0,350.0
119,2022-04-08 08:19:00,2022-04-08 09:13:00,4,1,3,1,,54,315.0,0,,0,315.0
120,2022-04-08 19:46:00,2022-04-09 02:18:00,11,3,2,1,,392,2417.33,19500,12.0,1,21917.33
121,2022-04-09 19:55:00,2022-04-09 20:24:00,11,3,8,1,,29,203.0,44000,11.0,2,44203.0
122,2022-04-11 17:20:00,2022-04-11 17:46:00,10,3,4,1,,26,138.67,0,,0,138.67
123,2022-04-12 12:51:00,2022-04-12 13:13:00,1,1,6,1,,22,117.33,0,,0,117.33
124,2022-04-12 16:53:00,2022-04-12 17:24:00,8,2,7,1,,31,180.83,0,,0,180.83
125,2022-04-12 20:00:00,2022-04-12 23:29:00,2,1,7,1,,209,1219.17,0,,0,1219.17
126,2022-04-14 06:37:00,2022-04-14 09:00:00,4,1,9,2,29.0,143,929.5,1800,1.0,1,2729.5
127,2022-04-14 06:54:00,2022-04-14 07:21:00,5,2,7,1,,27,157.5,0,,0,157.5
128,2022-04-15 03:54:00,2022-04-15 07:00:00,7,2,2,2,30.0,186,1147.0,38000,19.0,1,39147.0
129,2022-04-15 07:57:00,2022-04-15 08:56:00,6,2,6,1,,59,314.67,0,,0,314.67
130,2022-04-15 16:16:00,2022-04-15 18:00:00,9,3,11,2,31.0,104,1473.33,3600,1.0,2,5073.33
131,2022-04-16 08:38:00,2022-04-16 09:13:00,12,3,4,1,,35,186.67,0,,0,186.67
132,2022-04-17 07:34:00,2022-04-17 12:00:00,5,2,1,2,32.0,266,2438.33,0,,0,2438.33
133,2022-04-18 11:36:00,2022-04-18 12:22:00,9,3,10,1,,46,299.0,900,3.0,1,1199.0
134,2022-04-19 10:24:00,2022-04-19 10:46:00,7,2,2,1,,22,135.67,0,,0,135.67
135,2022-04-19 19:16:00,2022-04-19 19:59:00,4,1,4,1,,43,229.33,0,,0,229.33
136,2022-04-20 06:51:00,2022-04-20 07:40:00,3,1,8,1,,49,343.0,0,,0,343.0
137,2022-04-20 17:48:00,2022-04-20 18:20:00,2,1,8,1,,32,224.0,0,,0,224.0
138,2022-04-22 06:35:00,2022-04-22 07:07:00,11,3,5,1,,32,186.67,0,,0,186.67
139,2022-04-24 02:08:00,2022-04-24 10:00:00,6,2,4,2,33.0,472,2517.33,84000,16.0,2,86517.33
140,2022-04-24 12:20:00,2022-04-24 12:48:00,1,1,8,1,,28,196.0,0,,0,196.0
141,2022-04-25 20:19:00,2022-04-25 20:57:00,10,3,4,1,,38,202.67,3200,8.0,1,3402.67
142,2022-04-26 11:10:00,2022-04-26 12:08:00,8,2,6,1,,58,309.33,0,,0,309.33
143,2022-04-26 15:34:00,2022-04-26 22:00:00,11,3,9,2,34.0,386,2509.0,38000,19.0,1,40509.0
144,2022-04-26 17:09:00,2022-04-26 20:00:00,3,1,11,2,35.0,171,2422.5,16000,13.0,1,18422.5
145,2022-04-27 11:17:00,2022-04-27 11:41:00,12,3,6,1,,24,128.0,0,,0,128.0
146,2022-04-28 16:54:00,2022-04-28 17:47:00,6,2,9,1,,53,344.5,4800,7.0,1,5144.5
147,2022-04-28 20:21:00,2022-04-28 21:14:00,5,2,2,1,,53,326.83,0,,0,326.83
148,2022-04-29 19:27:00,2022-04-29 22:35:00,1,1,2,1,,188,1159.33,76000,19.0,2,77159.33
149,2022-04-30 08:40:00,2022-04-30 09:29:00,2,1,2,1,,49,302.17,9600,7.0,2,9902.17
150,2022-05-01 11:12:00,2022-05-01 11:56:00,4,1,10,1,,44,286.0,0,,0,286.0
151,2022-05-02 08:43:00,2022-05-02 09:15:00,9,3,5,1,,32,186.67,25000,9.0,2,25186.67
152,2022-05-02 09:28:00,2022-05-02 10:25:00,3,1,10,1,,57,370.5,0,,0,370.5
153,2022-05-02 14:19:00,2022-05-02 15:12:00,7,2,6,1,,53,282.67,3200,8.0,1,3482.67
154,2022-05-02 16:53:00,2022-05-02 19:00:00,4,1,10,2,36.0,127,825.5,47000,20.0,1,47825.5
155,2022-05-03 21:44:00,2022-05-04 01:31:00,3,1,11,1,,227,3215.83,55000,17.0,1,58215.83
156,2022-05-05 09:24:00,2022-05-05 09:57:00,1,1,3,1,,33,192.5,60000,18.0,1,60192.5
157,2022-05-06 13:19:00,2022-05-06 13:50:00,8,2,7,1,,31,180.83,0,,0,180.83
158,2022-05-06 15:21:00,2022-05-06 15:44:00,11,3,3,1,,23,134.17,4200,6.0,1,4334.17
159,2022-05-07 17:48:00,2022-05-08 00:00:00,12,3,1,2,37.0,372,3410.0,3200,8.0,1,6610.0
160,2022-05-08 10:00:00,2022-05-08 10:23:00,10,3,9,1,,23,149.5,0,,0,149.5
161,2022-05-09 16:09:00,2022-05-09 16:58:00,5,2,3,1,,49,285.83,38000,19.0,1,38285.83
162,2022-05-09 16:25:00,2022-05-09 23:00:00,2,1,4,2,38.0,395,2106.67,16000,13.0,1,18106.67
163,2022-05-10 11:07:00,2022-05-10 11:41:00,6,2,2,1,,34,209.67,0,,0,209.67
164,2022-05-10 19:19:00,2022-05-10 20:03:00,2,1,7,1,,44,256.67,110000,17.0,2,110256.67
165,2022-05-11 12:59:00,2022-05-11 13:52:00,12,3,8,1,,53,371.0,0,,0,371.0
166,2022-05-12 11:55:00,2022-05-12 12:41:00,9,3,3,1,,46,268.33,0,,0,268.33
167,2022-05-12 18:36:00,2022-05-12 19:22:00,3,1,8,1,,46,322.0,0,,0,322.0
168,2022-05-14 10:40:00,2022-05-14 15:00:00,6,2,9,2,39.0,260,1690.0,0,,0,1690.0
169,2022-05-14 18:27:00,2022-05-14 19:15:00,7,2,10,1,,48,312.0,0,,0,312.0
170,2022-05-14 19:36:00,2022-05-14 20:29:00,4,1,10,1,,53,344.5,0,,0,344.5
171,2022-05-15 06:36:00,2022-05-15 15:00:00,10,3,2,2,40.0,504,3108.0,0,,0,3108.0
172,2022-05-15 09:25:00,2022-05-15 13:59:00,7,2,7,1,,274,1598.33,38000,19.0,1,39598.33
173,2022-05-15 12:46:00,2022-05-15 19:32:00,4,1,4,1,,406,2165.33,3200,8.0,1,5365.33
174,2022-05-15 16:12:00,2022-05-15 21:19:00,12,3,10,1,,307,1995.5,16000,13.0,1,17995.5
175,2022-05-16 03:24:00,2022-05-16 12:00:00,1,1,11,2,42.0,516,7310.0,12500,9.0,1,19810.0
176,2022-05-16 03:32:00,2022-05-16 11:00:00,9,3,4,2,41.0,448,2389.33,37000,10.0,2,39389.33
177,2022-05-16 08:18:00,2022-05-16 09:03:00,8,2,5,1,,45,262.5,0,,0,262.5
178,2022-05-17 20:54:00,2022-05-17 21:24:00,11,3,6,1,,30,160.0,0,,0,160.0
179,2022-05-19 12:24:00,2022-05-19 13:04:00,10,3,5,1,,40,233.33,12500,9.0,1,12733.33
180,2022-05-20 06:25:00,2022-05-20 06:52:00,5,2,9,1,,27,175.5,0,,0,175.5
181,2022-05-22 19:03:00,2022-05-22 19:44:00,3,1,3,1,,41,239.17,0,,0,239.17
182,2022-05-22 20:32:00,2022-05-22 23:40:00,9,3,3,1,,188,1096.67,1200,4.0,1,2296.67
183,2022-05-23 12:23:00,2022-05-23 13:01:00,6,2,6,1,,38,202.67,0,,0,202.67
184,2022-05-24 06:31:00,2022-05-24 07:15:00,9,3,8,1,,44,308.0,0,,0,308.0
185,2022-05-24 16:18:00,2022-05-24 17:13:00,2,1,10,1,,55,357.5,0,,0,357.5
186,2022-05-25 04:12:00,2022-05-25 09:00:00,7,2,5,2,43.0,288,1680.0,8700,15.0,1,10380.0
187,2022-05-25 04:21:00,2022-05-25 06:00:00,11,3,3,2,44.0,99,577.5,16000,13.0,1,16577.5
188,2022-05-25 14:22:00,2022-05-25 20:00:00,8,2,10,2,45.0,338,2197.0,0,,0,2197.0
189,2022-05-25 19:05:00,2022-05-25 19:28:00,12,3,8,1,,23,161.0,25000,9.0,2,25161.0
190,2022-05-26 16:27:00,2022-05-26 17:15:00,4,1,10,1,,48,312.0,9800,14.0,1,10112.0
191,2022-05-27 09:37:00,2022-05-27 10:07:00,8,2,2,1,,30,185.0,22000,11.0,1,22185.0
192,2022-05-27 11:49:00,2022-05-27 12:14:00,7,2,4,1,,25,133.33,16000,13.0,1,16133.33
193,2022-05-28 13:45:00,2022-05-28 14:28:00,11,3,4,1,,43,229.33,0,,0,229.33
194,2022-05-28 22:54:00,2022-05-29 02:00:00,9,3,4,2,46.0,186,992.0,25000,9.0,2,25992.0
195,2022-05-29 17:46:00,2022-05-29 18:12:00,1,1,9,1,,26,169.0,0,,0,169.0
196,2022-05-29 18:54:00,2022-05-29 19:45:00,10,3,8,1,,51,357.0,0,,0,357.0
197,2022-05-30 17:26:00,2022-05-30 17:53:00,5,2,10,1,,27,175.5,6400,8.0,2,6575.5
198,2022-05-31 01:49:00,2022-05-31 07:00:00,6,2,9,2,47.0,311,2021.5,9800,14.0,1,11821.5
199,2022-06-01 19:50:00,2022-06-02 02:12:00,5,2,2,1,,382,2355.67,0,,0,2355.67
200,2022-06-02 10:58:00,2022-06-02 11:27:00,3,1,2,1,,29,178.83,60000,18.0,1,60178.83
201,2022-06-03 08:19:00,2022-06-03 08:58:00,9,3,6,1,,39,208.0,16000,13.0,1,16208.0
202,2022-06-04 08:28:00,2022-06-04 12:00:00,1,1,8,2,48.0,212,1484.0,0,,0,1484.0
203,2022-06-05 06:22:00,2022-06-05 07:18:00,6,2,9,1,,56,364.0,0,,0,364.0
204,2022-06-05 07:14:00,2022-06-05 08:13:00,12,3,10,1,,59,383.5,4200,6.0,1,4583.5
205,2022-06-05 17:08:00,2022-06-05 17:34:00,2,1,5,1,,26,151.67,22000,11.0,1,22151.67
206,2022-06-07 14:33:00,2022-06-07 15:04:00,4,1,10,1,,31,201.5,0,,0,201.5
207,2022-06-07 19:51:00,2022-06-08 01:24:00,6,2,9,1,,333,2164.5,38000,19.0,1,40164.5
208,2022-06-08 00:07:00,2022-06-08 02:00:00,12,3,4,2,50.0,113,602.67,0,,0,602.67
209,2022-06-08 02:00:00,2022-06-08 07:00:00,3,1,10,2,49.0,300,1950.0,0,,0,1950.0
210,2022-06-08 16:56:00,2022-06-08 17:32:00,8,2,4,1,,36,192.0,0,,0,192.0
211,2022-06-09 17:56:00,2022-06-09 18:26:00,7,2,3,1,,30,175.0,0,,0,175.0
212,2022-06-10 04:21:00,2022-06-10 07:00:00,5,2,2,2,51.0,159,980.5,1800,3.0,2,2780.5
213,2022-06-10 19:16:00,2022-06-10 20:11:00,1,1,3,1,,55,320.83,4200,6.0,1,4520.83
214,2022-06-10 21:59:00,2022-06-10 22:41:00,11,3,2,1,,42,259.0,55000,17.0,1,55259.0
215,2022-06-11 14:24:00,2022-06-11 18:00:00,11,3,10,2,52.0,216,1404.0,6400,8.0,2,7804.0
216,2022-06-12 06:00:00,2022-06-12 06:38:00,5,2,6,1,,38,202.67,84000,16.0,2,84202.67
217,2022-06-12 09:45:00,2022-06-12 10:43:00,10,3,2,1,,58,357.67,0,,0,357.67
218,2022-06-12 13:29:00,2022-06-12 18:00:00,4,1,6,2,53.0,271,1445.33,32000,13.0,2,33445.33
219,2022-06-15 08:48:00,2022-06-15 09:46:00,9,3,2,1,,58,357.67,0,,0,357.67
220,2022-06-16 20:46:00,2022-06-16 21:41:00,3,1,9,1,,55,357.5,4200,6.0,1,4557.5
221,2022-06-17 10:10:00,2022-06-17 11:03:00,4,1,9,1,,53,344.5,0,,0,344.5
222,2022-06-17 15:46:00,2022-06-17 16:21:00,2,1,6,1,,35,186.67,0,,0,186.67
223,2022-06-18 17:59:00,2022-06-18 23:00:00,9,3,4,2,54.0,301,1605.33,55000,17.0,1,56605.33
224,2022-06-19 13:56:00,2022-06-19 14:38:00,6,2,2,1,,42,259.0,38000,19.0,1,38259.0
225,2022-06-19 15:19:00,2022-06-19 15:44:00,12,3,9,1,,25,162.5,44000,11.0,2,44162.5
226,2022-06-20 12:30:00,2022-06-20 13:20:00,11,3,10,1,,50,325.0,42000,16.0,1,42325.0
227,2022-06-20 18:21:00,2022-06-21 03:00:00,2,1,4,2,55.0,519,2768.0,6400,8.0,2,9168.0
228,2022-06-21 19:43:00,2022-06-22 02:00:00,10,3,1,2,56.0,377,3455.83,4800,7.0,1,8255.83
229,2022-06-21 21:55:00,2022-06-22 05:00:00,6,2,11,2,57.0,425,6020.83,0,,0,6020.83
230,2022-06-22 10:08:00,2022-06-22 10:33:00,10,3,4,1,,25,133.33,0,,0,133.33
231,2022-06-22 17:08:00,2022-06-22 17:48:00,7,2,9,1,,40,260.0,0,,0,260.0
232,2022-06-22 19:26:00,2022-06-22 20:03:00,8,2,4,1,,37,197.33,900,3.0,1,1097.33
233,2022-06-23 07:05:00,2022-06-23 07:28:00,1,1,7,1,,23,134.17,1800,1.0,1,1934.17
234,2022-06-26 14:25:00,2022-06-26 15:12:00,5,2,3,1,,47,274.17,0,,0,274.17
235,2022-06-26 17:30:00,2022-06-26 20:00:00,11,3,10,2,58.0,150,975.0,25000,9.0,2,25975.0
236,2022-06-26 18:51:00,2022-06-26 19:39:00,9,3,5,1,,48,280.0,0,,0,280.0
237,2022-06-29 13:14:00,2022-06-29 14:02:00,3,1,9,1,,48,312.0,0,,0,312.0
238,2022-06-30 20:37:00,2022-06-30 21:04:00,4,1,6,1,,27,144.0,0,,0,144.0
239,2022-07-01 08:11:00,2022-07-01 08:55:00,2,1,5,1,,44,256.67,0,,0,256.67
240,2022-07-01 10:55:00,2022-07-01 11:48:00,11,3,10,1,,53,344.5,0,,0,344.5
241,2022-07-01 20:02:00,2022-07-01 20:32:00,12,3,2,1,,30,185.0,0,,0,185.0
242,2022-07-03 00:44:00,2022-07-03 07:00:00,7,2,10,2,59.0,376,2444.0,0,,0,2444.0
243,2022-07-03 08:23:00,2022-07-03 09:17:00,6,2,9,1,,54,351.0,0,,0,351.0
244,2022-07-04 06:38:00,2022-07-04 08:00:00,8,2,3,2,60.0,82,478.33,0,,0,478.33
245,2022-07-05 12:44:00,2022-07-05 13:38:00,8,2,10,1,,54,351.0,0,,0,351.0
246,2022-07-06 08:38:00,2022-07-06 09:19:00,10,3,10,1,,41,266.5,0,,0,266.5
247,2022-07-07 20:17:00,2022-07-07 21:02:00,1,1,3,1,,45,262.5,0,,0,262.5
248,2022-07-07 21:05:00,2022-07-07 21:33:00,5,2,2,1,,28,172.67,0,,0,172.67
249,2022-07-10 16:17:00,2022-07-10 16:40:00,9,3,2,1,,23,141.83,0,,0,141.83
250,2022-07-11 05:22:00,2022-07-11 12:00:00,9,3,10,2,61.0,398,2587.0,47000,20.0,1,49587.0
251,2022-07-11 07:05:00,2022-07-11 08:01:00,4,1,6,1,,56,298.67,0,,0,298.67
